ylat,xlong,p_area,p_cap_ac
39.261,-76.9865,31272,2
43.8904,-70.3416,62118,5
46.6466,-68.4,67529,3
44.7679,-68.8227,88256,5
44.4431,-70.3213,51814,3
46.7568,-67.8684,43392,2
44.1316,-69.4272,39887,2.5
44.0736,-70.5434,63681,4
44.4083,-69.5258,69373,4.5
44.3063,-69.1096,61371,4
47.3094,-68.3756,48104,2.5
46.5713,-67.9103,42285,2.5
44.7575,-69.6357,89652,5
44.8492,-68.801,29566,2
44.8467,-68.7129,31880,2
44.4512,-68.993,68379,5
44.1062,-70.3735,18431,1
44.0764,-70.1377,86841,5
43.8562,-70.4587,17988,1
44.2724,-85.2126,46369,2
45.4664,-94.3959,26749,1
38.8634,-94.2974,37267,3
39.3057,-91.5445,5126119,200
35.7506,-80.2906,136482,3
35.7547,-80.289,29792,1.5
40.656,-96.7468,21165,1
40.0862,-97.7072,20940,1
40.8277,-97.0789,22090,1
41.2157,-98.4451,21392,1
41.1243,-97.5787,21737,1
40.7339,-74.0857,40224,3
40.1307,-74.2196,16194,1
40.1987,-74.6346,11604,1
40.6843,-74.1914,10677,1
40.6851,-74.1913,7432,1
40.6858,-74.1912,8376,1
43.2046,-75.2659,72005,5
43.077,-73.9009,50190,3.5
43.0673,-73.9182,45805,3.5
42.3896,-79.428,48116,2.5
41.3379,-74.4809,50397,2
41.3329,-74.4843,49742,2
42.9691,-78.2106,40706,3
43.0364,-77.1471,101840,5
43.0337,-77.1468,82631,4
44.8826,-73.5822,198418,5
42.6591,-76.9311,71685,5
42.6731,-73.8639,73126,5
43.1855,-77.7456,108729,5
43.1857,-77.7499,59439,2.5
43.2814,-77.9636,64881,5
42.2694,-73.746,241481,5
44.7352,-74.6467,118475,5
43.0117,-75.9658,117500,5
43.0126,-75.9693,87706,5
43.0145,-77.8818,117186,5
43.1331,-79.0282,60042,3
42.4477,-76.6021,79987,5
42.4487,-76.6076,74678,5
43.0718,-76.3148,90617,5
43.5211,-76.1596,87451,5
43.7964,-76.0841,96064,5
44.7549,-74.6509,79648,4
44.7523,-74.6575,49694,2.5
42.7567,-73.6462,51040,4
43.1918,-78.8912,79684,5
43.3247,-73.6099,170894,5
42.4415,-79.2918,110451,5
43.1278,-78.8465,70831,4
42.8957,-73.9528,62799,5
42.984,-74.2003,117790,5
43.0457,-76.0262,80416,4.5
42.7759,-73.6545,50075,4
42.4368,-79.2969,79438,3.5
43.8787,-73.4396,113032,5
43.1511,-77.0775,58859,3
42.545,-77.4563,70354,5
43.1936,-77.9854,100797,5
42.8474,-76.6732,118208,5
40.2624,-84.0054,2973933,144
39.964,-83.0848,9810,1
41.5595,-71.3004,13516,1
41.613,-71.6733,68743,4
31.6978,-97.3818,3217048,161
37.3572,-76.5367,273751,20
39.2868,-78.6412,218090,20
36.249,-119.5814,138339,4
35.5769,-119.2224,144172,5
35.6797,-120.6372,72633,3
35.6594,-119.973,47602,3
37.0839,-120.6344,22873,1
36.7015,-119.7491,23278,1.5
34.9869,-118.9054,131459,5
40.3179,-104.8338,82193,4
40.3388,-104.8777,96609,5
36.867,-101.1952,16450,1
42.1276,-121.9066,21453,1
35.5687,-92.4553,23232,1
41.3368,-72.9867,11996,1
41.8901,-73.1126,33858,2
29.6077,-82.6698,1428316,74.5
28.166,-81.085,1387144,74.5
32.199,-84.0747,1629580,80
32.285,-82.3886,5294423,250
41.5162,-87.5717,54538,2
41.385,-87.7603,50669,2
38.7289,-90.1357,30972,2
42.3941,-89.5385,50134,2
40.9192,-88.6201,39360,2
40.7685,-90.0084,37278,2
41.217,-87.8845,121999,2
40.7131,-86.7826,3315963,150
30.7893,-90.2186,977499,50
42.2575,-71.4761,63527,4.5
41.6104,-70.5963,28206,1.5
42.0869,-71.8522,88698,4
41.764,-70.9656,16414,1
42.1106,-73.3224,34140,2
41.6557,-70.5029,7435,1
42.2212,-71.7335,18667,1
42.1591,-71.3747,14445,1
41.7237,-70.8403,14635,1
42.565,-72.4034,19972,1
44.1019,-70.7059,74122,5
44.2358,-69.3739,37600,4
43.9358,-69.7841,76639,5
44.9485,-69.8789,90038,5
43.6141,-70.4154,65402,5
44.5724,-69.6924,75782,5
46.8183,-67.9926,65290,5
44.6363,-84.176,210844,10
43.0453,-85.3888,127894,5
44.2899,-85.2123,45792,2
42.2786,-84.8118,572191,20
45.6424,-95.5272,21490,1
43.565,-92.6715,1050072,50
44.9369,-94.8916,28558,1
45.1363,-94.7605,28268,1
34.303,-89.9892,78500,3.5
35.4163,-77.9188,32224,2
35.3881,-78.5404,34849,2
35.3896,-77.6018,64422,3
34.7811,-79.569,108457,5
40.3022,-74.4978,13286,1
39.9883,-74.1747,17817,1
40.6834,-74.1914,8358,1
43.1715,-77.9512,167647,5
43.2801,-78.3713,39177,3
43.3356,-75.1774,71432,3.5
42.5563,-75.4954,225266,5
42.0906,-77.8209,156922,5
43.1534,-78.7046,97334,5
42.7132,-74.0205,109508,5
41.0616,-83.5565,53971,2
45.2673,-123.0137,39960,2.5
41.6096,-71.6477,247215,20
37.9051,-79.4038,49810,2.5
38.7865,-77.5541,24675,2
36.8946,-76.7127,352818,20
45.0488,-91.9755,33178,1.5
44.9715,-91.8047,32963,1.5
42.7163,-87.9004,20476,1.5
45.1233,-89.1758,96264,6
43.599,-88.2386,82059,5
44.731,-88.3741,127139,7.5
43.3123,-88.0904,121415,7.5
42.6773,-88.3393,117626,7.5
42.6998,-88.5307,97589,6
36.3215,-119.351,10105,1
37.2742,-120.6283,39112,1.5
32.9297,-111.4902,3804987,200
36.2514,-115.0817,19805,1
45.2099,-122.6763,33295,2
